update,seen_steps,sps,mean_step_reward,episodes_ended,ep_return_ema,ep_len_ema,term_wall,term_obstacle,term_friendly,term_enemy,term_timeout,shots_fired,shots_hit,shots_hit_friendly,shots_missed,shot_hit_rate,friendly_fire_rate,kl,entropy,pg_loss,v_loss,eval_mean,eval_std,eval_len,best_eval
1,1024,1075,-0.412607,5,-103.129701,190.840000,0,4,1,0,0,51,4,1,46,0.078431,0.019608,0.005610,2.906759,-0.002140,414.971247,,,,-1000000000000000000.000000
2,2048,1305,-1.259172,5,-105.530834,180.176000,0,4,1,0,0,50,1,4,45,0.020000,0.080000,0.002156,2.906588,-0.000122,1062.949211,,,,-1000000000000000000.000000
3,3072,1396,-0.713139,3,-112.205222,177.258400,0,2,1,0,0,47,0,2,45,0.000000,0.042553,0.002618,2.910310,-0.001329,451.081385,,,,-1000000000000000000.000000
4,4096,1444,-0.258979,6,-121.552026,178.049227,1,4,0,1,0,47,4,0,43,0.085106,0.000000,0.003387,2.897498,-0.002075,258.066360,,,,-1000000000000000000.000000
5,5120,1475,-0.130826,2,-116.894936,170.894304,0,1,0,1,0,48,1,0,47,0.020833,0.000000,0.011967,2.891512,-0.003945,91.145884,,,,-1000000000000000000.000000
6,6144,1498,-0.712919,1,-120.974233,201.404874,0,1,0,0,0,48,0,3,45,0.000000,0.062500,0.007589,2.907282,-0.002168,496.952122,,,,-1000000000000000000.000000
7,7168,1514,-0.719096,6,-115.379579,222.514386,1,2,0,3,0,49,0,1,48,0.000000,0.020408,0.005410,2.909616,-0.002706,405.991339,,,,-1000000000000000000.000000
8,8192,1529,-0.500181,3,-118.957819,236.996281,0,1,0,2,0,49,2,3,44,0.040816,0.061224,0.000344,2.911902,0.000457,519.911659,,,,-1000000000000000000.000000
9,9216,1536,-0.581064,8,-120.606098,235.596653,6,0,1,1,0,49,4,0,45,0.081633,0.000000,0.002546,2.919632,-0.002313,342.704664,,,,-1000000000000000000.000000
10,10240,1544,-1.335003,7,-131.148502,227.465559,3,2,2,0,0,51,2,4,45,0.039216,0.078431,0.000647,2.913015,0.000537,1140.723549,-278.013446,227.120077,218.12,-278.013446
11,11264,1017,-0.524561,5,-125.072118,220.479003,2,3,0,0,0,47,1,1,45,0.021277,0.021277,0.003066,2.912872,-0.002252,340.082795,,,,-278.013446
12,12288,1050,-0.576342,6,-124.753711,216.564436,3,2,1,0,0,50,1,0,49,0.020000,0.000000,0.003450,2.912350,-0.001572,256.934722,,,,-278.013446
13,13312,1080,-0.761573,5,-126.072732,214.667993,3,0,1,1,0,47,1,2,44,0.021277,0.042553,0.004476,2.926564,-0.002502,708.877003,,,,-278.013446
14,14336,1107,-1.327873,7,-128.468913,208.786908,4,1,2,0,0,51,2,4,45,0.039216,0.078431,0.002883,2.933729,-0.002176,1109.205418,,,,-278.013446
15,15360,1132,-1.025775,5,-129.080866,205.288217,4,1,0,0,0,49,0,3,46,0.000000,0.061224,0.001251,2.927739,-0.000998,600.176397,,,,-278.013446
16,16384,1153,-1.065563,7,-136.499107,201.673681,6,0,1,0,0,48,1,2,45,0.020833,0.041667,0.004807,2.936513,-0.004128,734.541077,,,,-278.013446
17,17408,1173,-1.197914,11,-138.648175,194.151767,5,4,2,0,0,52,3,1,48,0.057692,0.019231,0.001818,2.921036,-0.001176,659.311878,,,,-278.013446
18,18432,1191,-0.670436,8,-133.094582,184.249091,0,7,0,1,0,51,1,0,50,0.019608,0.000000,0.001153,2.940905,-0.000171,287.167146,,,,-278.013446
19,19456,1208,-1.094369,9,-131.296322,179.257515,3,5,1,0,0,51,0,1,50,0.000000,0.019608,0.002012,2.924581,-0.001399,537.586649,,,,-278.013446
20,20480,1211,-0.577166,6,-128.409524,173.365097,1,5,0,0,0,48,4,1,43,0.083333,0.020833,0.004867,2.938090,-0.002643,430.795637,-16.973838,220.639947,517.38,-16.973838
21,21504,745,-0.407776,4,-124.810061,176.478587,3,0,0,1,0,50,1,1,48,0.020000,0.020000,0.002535,2.933626,-0.001499,319.916405,,,,-16.973838
22,22528,764,-0.937681,8,-126.507893,175.880728,3,3,2,0,0,48,2,1,45,0.041667,0.020833,0.000491,2.939129,-0.000371,508.700817,,,,-16.973838
23,23552,784,-0.066634,3,-116.316175,172.759322,0,3,0,0,0,47,2,0,45,0.042553,0.000000,0.005031,2.926256,-0.002639,155.895112,,,,-16.973838
24,24576,801,-0.471251,5,-114.226840,174.843390,4,1,0,0,0,49,4,1,44,0.081633,0.020408,0.002558,2.942765,-0.003231,385.362049,,,,-16.973838
25,25600,817,-0.365634,5,-112.115708,179.699051,1,3,1,0,0,46,0,0,46,0.000000,0.000000,0.004359,2.938341,-0.003320,191.065657,,,,-16.973838
26,26624,832,-0.543575,3,-116.579434,186.762479,0,2,1,0,0,49,1,1,47,0.020408,0.020408,0.002644,2.921739,-0.001194,433.464684,,,,-16.973838
27,27648,846,-0.000779,1,-106.693995,223.286231,0,0,1,0,0,48,4,1,43,0.083333,0.020833,0.006474,2.935232,-0.003200,296.720718,,,,-16.973838
28,28672,860,-0.044933,1,-105.665509,222.057608,1,0,0,0,0,47,1,0,46,0.021277,0.000000,0.006124,2.939621,-0.001279,52.700511,,,,-16.973838
29,29696,873,0.033130,2,-102.293446,234.301847,0,1,0,1,0,46,3,0,43,0.065217,0.000000,0.004047,2.970123,-0.000709,96.796116,,,,-16.973838
30,30720,886,0.027598,0,-102.293446,234.301847,0,0,0,0,0,45,2,1,42,0.044444,0.022222,0.004056,2.958205,-0.001434,172.968976,-131.037395,106.827234,312.00,-16.973838
31,31744,756,-0.173536,2,-94.365010,238.971663,1,1,0,0,0,47,0,0,47,0.000000,0.000000,0.000896,2.946090,-0.000335,93.865502,,,,-16.973838
32,32768,769,-0.345452,4,-96.569737,263.499496,0,3,0,0,1,47,0,1,46,0.000000,0.021277,0.000756,2.942005,-0.000492,146.469416,,,,-16.973838
33,33792,783,-0.136384,5,-83.153145,300.989547,1,2,0,0,2,50,2,0,48,0.040000,0.000000,0.000302,2.951641,0.000068,146.302710,,,,-16.973838
34,34816,792,-0.107442,2,-78.632026,294.390592,1,1,0,0,0,45,1,0,44,0.022222,0.000000,0.003882,2.944973,-0.000149,100.037413,,,,-16.973838
35,35840,802,-0.023316,3,-76.244040,309.618199,2,1,0,0,0,48,4,0,44,0.083333,0.000000,0.000744,2.948725,-0.000653,168.974245,,,,-16.973838
36,36864,812,-0.391494,5,-75.262605,302.356380,2,2,1,0,0,48,2,0,46,0.041667,0.000000,0.000542,2.945585,0.001564,244.032284,,,,-16.973838
37,37888,821,-0.490397,6,-75.119969,300.154075,4,2,0,0,0,46,4,1,41,0.086957,0.021739,0.001160,2.953130,0.000045,409.326996,,,,-16.973838
38,38912,831,-0.290924,6,-77.357288,283.105334,2,4,0,0,0,51,3,0,48,0.058824,0.000000,0.000338,2.946833,-0.000868,252.113641,,,,-16.973838
39,39936,842,-0.667222,6,-77.232758,272.478134,2,2,1,1,0,48,1,0,47,0.020833,0.000000,0.002048,2.945172,-0.000470,261.812672,,,,-16.973838
40,40960,851,-0.252252,2,-83.305683,262.780321,2,0,0,0,0,47,0,0,47,0.000000,0.000000,0.000424,2.948263,-0.000713,100.576771,-36.602956,192.269007,571.62,-16.973838
41,41984,668,-0.173248,1,-101.654192,262.402289,0,0,1,0,0,45,3,1,41,0.066667,0.022222,0.000831,2.943542,-0.000130,206.581928,,,,-16.973838
42,43008,677,0.183243,1,-97.029937,278.762060,0,1,0,0,0,48,2,0,46,0.041667,0.000000,0.000944,2.945506,-0.000898,76.318806,,,,-16.973838
43,44032,686,-1.046253,3,-93.292509,269.719187,1,1,1,0,0,48,6,5,37,0.125000,0.104167,0.001340,2.965227,-0.001473,991.515774,,,,-16.973838
44,45056,694,-0.596456,4,-99.030229,296.247268,0,2,1,0,1,47,1,2,44,0.021277,0.042553,0.001065,2.939514,-0.001984,456.207544,,,,-16.973838
45,46080,703,-0.521431,3,-109.884199,311.222542,1,1,0,0,1,47,0,2,45,0.000000,0.042553,0.001407,2.940553,-0.000227,523.139652,,,,-16.973838
46,47104,711,-1.008642,3,-118.804056,310.466954,0,1,2,0,0,47,1,4,42,0.021277,0.085106,0.000492,2.954475,0.001026,1102.941868,,,,-16.973838
47,48128,719,-0.062597,2,-133.221527,334.320259,0,0,1,0,1,49,3,1,45,0.061224,0.020408,0.002628,2.962146,-0.000326,443.805880,,,,-16.973838
48,49152,728,-0.858687,4,-147.051130,334.363233,0,2,1,1,0,47,1,3,43,0.021277,0.063830,0.000303,2.937419,-0.000001,737.439407,,,,-16.973838
49,50176,735,0.003045,2,-158.739062,347.376909,0,0,1,1,0,47,2,0,45,0.042553,0.000000,0.001088,2.946302,-0.000454,94.922437,,,,-16.973838
50,51200,743,-0.194655,4,-148.332842,342.489219,1,3,0,0,0,47,2,0,45,0.042553,0.000000,0.001338,2.948961,-0.003872,148.311938,-64.390820,151.174902,459.62,-16.973838
51,52224,645,-0.112529,2,-142.621982,327.190297,0,2,0,0,0,46,1,0,45,0.021739,0.000000,0.001844,2.957172,-0.001162,87.751094,,,,-16.973838
52,53248,652,-0.513456,3,-141.029877,323.604600,0,3,0,0,0,48,3,2,43,0.062500,0.041667,0.001485,2.941487,-0.003803,543.123556,,,,-16.973838
53,54272,659,0.220865,2,-127.928411,338.544140,0,2,0,0,0,48,4,0,44,0.083333,0.000000,0.001814,2.942495,-0.002884,120.623943,,,,-16.973838
54,55296,666,-0.751598,4,-125.156192,329.664726,0,3,0,1,0,50,3,3,44,0.060000,0.060000,0.006194,2.939954,-0.000809,673.323109,,,,-16.973838
55,56320,672,-0.549806,4,-117.916476,323.623254,0,2,0,2,0,46,3,2,41,0.065217,0.043478,0.000810,2.937415,-0.001153,380.987356,,,,-16.973838
56,57344,679,-1.275447,4,-128.754826,335.460928,0,2,1,0,1,50,1,5,44,0.020000,0.100000,0.000469,2.946373,0.000444,798.854748,,,,-16.973838
57,58368,686,-0.012956,4,-125.345437,339.789835,0,2,1,0,1,49,3,0,46,0.061224,0.000000,0.001292,2.938294,-0.000500,155.469468,,,,-16.973838
